開発元,ツール名 / モデル名,有料プラン,無料プランと範囲（制限）,特異性,使い方,始め方,公開時期,公式URL / 公式解説WebサイトURL,用語解説
,GPT-5 mini,APIでの利用時、GPT-5の数分の一という圧倒的な低コストで利用可能。,ChatGPT無料枠のデフォルトモデルとして、ほぼ制限なく高速に利用可能。,精度と速度、コストのバランスが最も優れた軽量モデル。日常的なタスクを瞬時にこなすスピードが最大の強みです。,文法チェックや、長文の翻訳、日常的なメールの作成など、レスポンス速度が求められるタスクに最適です。,スマホアプリまたはブラウザでChatGPTを開き、そのままテキストを入力するだけで機能します。,2025年中盤（夏頃）,https://chatgpt.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,GPT-5.1,ChatGPT Plus（月額約$20）以上のユーザー向け、またはAPI。,無料枠では原則利用不可。,GPT-5をベースに、ハルシネーション（もっともらしい嘘）を極限まで抑えるチューニングが施された正確性重視のモデル。,絶対に間違えられない公式なビジネス文書の作成や、統計データの正確な抽出・検証作業に使用します。,ChatGPT Plusに加入後、モデル選択メニューからGPT-5.1を指定します。,2026年初頭,https://chatgpt.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,GPT-5.2,主にAPIやChatGPT Proなどの上位プランで提供。,無料枠では利用不可。,「コンテキストウィンドウ（一度に読み込める文字数）」が劇的に拡張された特化モデル。本数十冊分、あるいは膨大なデータベースのログを一度に飲み込むことができます。,特定のプロジェクトに関するすべてのPDFやスプレッドシートを一度にアップロードし、「この資料群の中から矛盾点を見つけて」といった横断的な分析を行います。,OpenAIのAPIダッシュボードからキーを取得し、プログラム（Pythonなど）経由で大量のデータを投下して使います。,2026年春（3月〜4月頃）,https://platform.openai.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,GPT-5.4,ChatGPT Pro（高額プラン）やEnterprise（企業向け）で提供。,無料枠では利用不可。,自律的にタスクを遂行する「エージェント機能」が強化されたモデル。指示を与えると、自分でWeb検索を行い、コードを書き、修正しながらゴールに向かって作業を続けます。,「中南米のIT市場に関する最新動向を調べ、5ページのレポートにまとめておいて」と指示し、数十分後に完成品を受け取ります。,ChatGPTの上位の有料サブスクリプションを契約し、エージェントモードをオンにして指示を出します。,2026年5月,https://chatgpt.com,
,GPT-5.5,ChatGPT ProやAPIの最上位ティア。,無料枠では利用不可。,セッション中にリアルタイムで学習・適応する能力を持つ、現行シリーズの最高峰。ユーザーの細かな好みや専門的な前提知識を対話の中で瞬時に吸収し、出力に反映させます。,専門的なアプリ開発プロジェクトにおいて、コードの記述ルールや独自のデータベース構造を教え込み、専属のシニアエンジニアとして長期間活用します。,ChatGPT Pro等で最高峰モデルとして選択し、詳細なシステムプロンプトを与えて対話を開始します。,2026年5月,https://chatgpt.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,gpt-oss-120b,モデル自体は無料ですが、動かすための巨大なクラウドサーバー代（AWSなど）が高額になります。,モデルの「重み（データ）」はオープンソースとして完全無料で公開されています。,OpenAIが提供する巨大なオープンソースモデル。外部のサーバーにデータを送信したくない企業が、自社の閉ざされた環境に構築するために使います。,絶対に外部に漏らせない企業の顧客データや未公開の技術データを学習させ、社内専用の高セキュアなAIを構築します。,Hugging Faceなどのプラットフォームからデータをダウンロードし、クラウドインフラストラクチャ上で環境を構築します。,2025年後半,https://huggingface.co/openai,
,gpt-oss-20b,自分のPCで動かす場合は完全無料。,完全無料でダウンロードし、ローカル環境で無制限に使用可能。,非常に軽量なオープンソースモデル。インターネット接続がないオフライン環境や、一般的なパソコンのGPUでもサクサク動かすことができます。,ネット環境が不安定な地域（例えば地方の大学キャンパスなど）で、オフラインでも動く翻訳ツールやデータ整理ツールとして活用します。,「LM Studio」や「Ollama」などのローカルAI実行ソフトをPCにインストールし、モデルをダウンロードして起動します。,2025年秋,https://huggingface.co/openai,
,OpenAI o3-mini,ChatGPT Plus、およびAPI。,無料ユーザーでも一定回数利用可能。,回答を出す前に内部で「深く考える（Thinking）」プロセスを挟む、STEM（理数系）特化モデル。計量経済学の数式証明や、複雑なアルゴリズムのバグ取りで圧倒的な力を発揮します。,通常のAIが間違えるような複雑な論理パズルや、「なぜこのSQLクエリは期待したデータを返さないのか」といった深い思考が必要なデバッグに使用します。,ChatGPTのモデル選択で「o3-mini」または「Reasoningモード」を選択し、質問を投げます。,2025年初頭,https://chatgpt.com （解説：https://openai.com/news/）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,OpenAI Sora 2,Sora専用プラン、またはChatGPT Proに付帯。,プレビュー版として短い秒数やウォーターマーク（透かし）付きで体験可能な場合があります。,テキストから超高画質な動画を生成する世界最高峰の動画生成AI。物理法則を理解しており、1分以上の長尺でも背景やキャラクターの一貫性が崩れません。,「日本の文化や折り紙の魅力を伝える、シネマティックな1分間のプロモーション映像」といったテキストを打ち込み、ワークショップ用の高品質な動画教材を生成します。,Soraの専用ウェブインターフェース、またはChatGPT内で動画生成のプロンプトを入力して実行します。,2025年末,https://sora.com （または https://openai.com/sora）,
,openai-community/gpt2,なし（完全無料）。,いつでも誰でも、制限なく無料で利用可能。,過去に一世を風靡したレガシー（旧型）モデル。現在の対話型AIとしては性能が低すぎますが、構造がシンプルで軽いため、AIの仕組みを学ぶための「教材」として世界中で使われています。,PythonでAIの基礎プログラムを組む練習や、小規模なテキスト自動生成の実験（トイプロジェクト）に使用します。,Python環境でHugging Faceの transformers ライブラリをインストールし、数行のコードを書くだけですぐに動かせます。,2019年2月,https://huggingface.co/openai-community/gpt2,
